,ground_truth,pred_base
144,"Uh… same to you, Luna.",I'm not a snark. I'm a snarkey.
145,She went down to the courtrooms with Umbridge--,I’m Ron.
146,"I found what you wrote in the Daily Prophet very moving, sir. I take it you knew Professor Dumbledore well?",I’m sorry. I’ll never be able to help you.
147,"There’s nothing scary about thestrals. They’re gentle things. Anyway, you won’t be going up to school in the carriages. You’ll be going in the boats, remember?",There's a bit of magic in the castle.
148,"Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.",I don't know...
149,Ginny stole the diary from my room? But why?,"You mean, I could have stolen the book from you?"
150,Yes.,"Yes, sir."
151,"Do you think the Horcrux is in there, sir?",I've been thinking about this for months.
152,He's asleep.,It’s not like I’m going to destroy it.
153,What’re you saying?,"But if we do find it, I think it can’ll be worse than the HorCrux. I’m not sure about that."
154,"Yeah, it doesn't make any sense.",Yes.
155,"Just the general behavior, sir. The sneaking around. The jumping when you saw me. ","I'm sorry, Professor. I didn't think you'd come back."
156,I haven't. Not really.,I'm not a wizard.
157,"Look, don’t be shy. If you’ve got something to say, spit it out.",You’re right. I’m sorry.
158,"Well, sir, I wondered if I might ask you something.","Sir, it’s the Prince’ of Magic."
159,Why not?,I'm not going to touch it!
160,I... just... know.,Yes.
161,"Bubble Juice, sir?","No, sir."
162,Expelliarmus!,I think I'll be going to sleep.
163,"If you quit, we'll be out four players!",You're not horrible!
164,"Potentially problematic? I don't know about you, Hermione, but last time I checked I couldn't hold my breath for an hour!",Yes.
165,The Map is never wrong.,"No, I’m not!"
166,What crime?,You're right. I don't care about your feelings. I just want to talk to you.
167,But I don't have any special powers.,Who is this?
168,Right... Dunno why he couldn't just come and tell me.,"No, sir."
169,I don't know...,We'll go back.
170,It's got to be.,It's not a secret. It's in the Ministry of Mysteries.
171,Thanks very. much.,No!
172,What... Who are you?,"It's a bit of a pity, isn't it?"
173,Yeah...,I'm home.
174,That's Madame Maxime!,But the front is.
175,"You mean, we've gone back in time?",But where is it?
176,"Er,,,","No, sir. I’m not--"
177,Because we'd take the mickey out of her?,She's coming.
178,Sorry... I still don’t really understand...,I don't know.
179,Let me out.,But I don’t care. I don't care about anyone else's death.
180,What about her?,I’m not the only one who saw him.
181,Have it your way...,I can see it. I can see the pain in your eyes.
182,"Yeah, real safe. Attacked by Dementors, that's safe, that is.",I thought you'd be safer in the castle.
183,I've got presents.,"No, sir."
184,"Uh, Hagrid, what exactly was that?",You’re right. I’m not.
185,What?,I don't think I can help it.
186,You called him a slick git not five hours ago.,He’ll be back.
187,"Because I need to. Because if I don’t, I don’t know who I am anymore. I’ve lost too many people to lie down now. I’m not interested in what happened between you and your brother, I don’t even care that you’ve given up. I trust the man I knew. I’m going to see this through.",Why do you trust me?
188,Nothing.,No.
189,Or twenty.,But where did it come from?
190,It's the truth!,What happened to him?
191,Accio Dittany.,It’ll be there.
192,"Well, you see, the other day I was in the Restricted Section-- in the library-- and I stumbled upon something rather odd while reading. Something about a bit of rare magic...",What?
193,Yeah… nerves...,What?
194,"Sir, I thought one couldn’t Apparate within Hogwarts.","No, I don't want to die."
195,"Hermione, I don’t need to have read A History of Magic to know who Gellert Grindelwald is.",Who is he?
196,Just like that? How?,What happened to you?
197,What?,"No, sir."
198,Don't mention it. Lumos.,It’s a bit of a long story.
199,What was that thing you saved me from?,I can see.
200,I remember.,You mean to say I was a wizard?
201,Dragon balls.,No.
202,I just saw it.,I'm Ron.
203,I have to.,"I think I’m going to go away, sir."
204,"Then again, he can take himself.","I mean, I think we've got to get back to the Ministry before the year is over."
205,We were attacked.,"Yes, sir."
206,It answers to me.,You're not alone.
207,"I didn't ask for this to happen, Ron. Okay? You're being stupid.",I know.
208,What about Lord Voldemort?,No.
209,Yes.,No.
210,You. You're the heir of Slytherin. You're Voldemort?,I'm not sure.
211,Nox.,But why?
212,Someone's going to try and steal it.,"I'm not dead, Harry."
213,That he escaped from Azkaban. That he killed someone...,I know nothing.
214,What?,You mean you didn't know that?
215,Dunno.,I don't know.
216,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums.",No.
217,It was you!,I don't know.
218,"Well, you can tell Ronald--",I don't know.
219,What was that?,And you did something I couldn't forgive. Your father did it to you.
220,"Well, you see, I’ve got an open period this morning, Professor--",I’m not sure.
221,Well... thanks.,I don't think you know what you re doing.
222,No.,I can't take it. I can't even breathe.
223,What?,I think it's time for you to go.
224,But I’m telling you. I saw it--,Where did it come from?
225,"But why, sir? If no one will believe me?",But I can't tell you how to get out.
226,"You're too late, it's gone.","Sir, I’m not allowed to speak of it."
227,"He barely taught me, though. I always felt more open to it after the lessons. Like he was trying to open me to Voldemort--",But I’m not really sure.
228,"Why do you want to cancel the Triwizard Tournament, sir?",He's not wrong.
229,What's she done now?,What?
230,He's gone? Now? But this is important! This is about... the Sorcerer's Stone.,What?
231,"Maybe Ron's right, Hermione. I mean, look at his family. The whole lot of them have been in Slytherin for centuries.",Yes.
232,Show me.,What happened to him?
233,You don't have a clue! You can't possibly know!,I'm not going to hurt you.
234,I have an idea.,"No, I’m not."
235,I... didn' t know.,I'm not a seeker.
236,Thanks.,I'm sure.
237,I think I'd take the dragon 'bout now...,I can't.
238,Never!,"You don't know why I'm here, do you?"
239,No. I don’t think so...,I’m sorry.
240,Voldemort's broken into the Department of Mysteries. He's got Sirius there! He could already have the weapon!,I heard him.
241,"We'll find her, Ron. Ginny's going to be fine.",I don't think so.
242,I have a hunch. I just hope I'm wrong...,I think we should go.
243,"Yeah, strange. Only... it’s not. It’s a fake.","It’ll be difficult, but I’m not afraid of it."
244,Anywhere's better than here.,"I mean, I've never done magic."
245,It shows me my family.,It’s like a mirror.
246,"Yeah, my friend Ron Weasley.",Yes.
247,"Yes, do go enjoy yourselves.",I think I need to go back to Hogwarts.
248,I want to bury him properly. Without magic.,"Yes, sir."
249,That's how Voldemort got in unnoticed.,I’m not going anywhere.
250,"Exactly where are we, sir?","What's it, Harry?"
251,Together.,I’ll take it if you don’t mind.
252,"What do you know about the Deathly Hallows, sir?",What's the difference?
253,"Get off! I said we'd take you to the castle. After that, the Dementors can have you.",No.
